video_id	description	date	link	views	likes	duration	comments_number	ref_link	whois_info
x6uK7ngaF_g	Премьера сериала «Оливье и роботы» 1 января на Иви — http://bit.ly/3i06Kjx\nКонкурс на iPhone 14 Pro Max среди зри белей трансляции, смотрите с нами онлайн и не пропустите! Участвуй по ссылке - https://docs.google.com/forms/d/e/1FAIpQLSfe-VwpNsrqOI0JPDMlES-ze41duAZ0iXExKktfu9JciD6YPw/viewform?usp=sf_link\n\nТелеграм Wylsacom - https://t.me/Wylsared\nПриложение Wylsacom для Apple - https://apps.apple.com/ru/app/wylsacom-media/id1481939376\nПриложение Wylsacom для Android - https://play.google.com/store/apps/details?id=com.wylsacom.media&hl=ru\nTwitter - http://twitter.com/wylsacom\nЯндекс Дзен - https://zen.yandex.ru/wylsacom\nГруппа VK - https://vk.com/wylsacom\nСайт - http://wylsa.com\n\n\n12+ Реклама. ivi.ru. Сервис Иви 18+	2022-12-30	https://www.youtube.com/watch?v=x6uK7ngaF_g	178101	3346	PT1H43M21S	266	https://www.ivi.ru/watch/olive-i-robotyi?utm_campaign=svod_ru_series_title_olive_i_robotyi&utm_medium=blogger&utm_source=wylsa&utm_content=integration	"LLC ""Ivi.ru"""
b6IC8Nfj78Q	"Смотри серию ""Оливье и роботы"" раньше премьеры на Wylsacom 30 декабря в 18:00 по Москве: https://youtu.be/x6uK7ngaF_g\nПремьера сериала «Оливье и роботы» 1 января на Иви — http://bit.ly/3i06Kjx\n18+ Реклама. ivi.ru\n\nЗа предоставленные айфоны, мы как обычно говорим спасибо лучшему магазину гаджетов BigGeek - http://biggeek.ru\n\nРазыгрываем  iPhone 14 Pro Max 128GB (если выживет) 30 января 2023 года! Что нужно сделать чтоб испытать удачу?\n1. Подписаться или быть подписанным на канал Wylsacom\n2. Оставить 1 комментарий - поделиться новогодним настроением. \n3. Лайк ролику. Опционально, но дает +100 к удаче.\n4. Перейти по этой ссылке в наш ТГ-канал WylsacomRed и подписаться на него!\nhttps://t.me/Wylsared/7592\nИ нажать кнопку «Участвовать». \n\nВсем удачи!\nПодведем итоги в TG-канале WylsacomRed.\nДоставка Почтой России или можно забрать в Москве.\nhttps://t.me/Wylsared/7592\n\n#айфоновуха #iPhone #настойка \n\nТелеграм Wylsacom - https://t.me/Wylsared\nПриложение Wylsacom для Apple - https://apps.apple.com/ru/app/wylsacom-media/id1481939376\nПриложение Wylsacom для Android - https://play.google.com/store/apps/details?id=com.wylsacom.media&hl=ru\nTwitter - http://twitter.com/wylsacom\nЯндекс Дзен - https://zen.yandex.ru/wylsacom\nГруппа VK - https://vk.com/wylsacom\nСайт - http://wylsa.com\n\nРолик содержит рекламную интеграцию\nerid=Pb3XmBtztBNoyAJTq7ZSLvU3W6uh4hYkUhueZGL"	2022-12-29	https://www.youtube.com/watch?v=b6IC8Nfj78Q	286226	14586	PT9M6S	5494	https://www.ivi.ru/watch/olive-i-robotyi?utm_campaign=svod_ru_series_title_olive_i_robotyi&utm_medium=blogger&utm_source=wylsa&utm_content=integration	"LLC ""Ivi.ru"""
owa16R_HeQg	"Смотри серию ""Оливье и роботы"" раньше премьеры на Wylsacom 30 декабря в 18:00 по Москве: https://youtu.be/x6uK7ngaF_g\n\nПремьера сериала «Оливье и роботы» 1 января на Иви — http://bit.ly/3i06Kjx\n\nПремьера! Смотри сериал «13 клиническая» на Иви. Все серии сразу — http://bit.ly/3VsoBNO\n\nГости:\nЯна Лебедева — креативный продюсер Иви\nАндрей Золотарёв — автор сценария, шоураннер сериала ""13 клиническая""\n\n18+ Реклама. ivi.ru\n\nТелеграм Wylsacom - https://t.me/Wylsared\nПриложение Wylsacom для Apple - https://apps.apple.com/ru/app/wylsacom-media/id1481939376\nПриложение Wylsacom для Android - https://play.google.com/store/apps/details?id=com.wylsacom.media&hl=ru\nTwitter - http://twitter.com/wylsacom\nЯндекс Дзен - https://zen.yandex.ru/wylsacom\nГруппа VK - https://vk.com/wylsacom\nСайт - http://wylsa.com\n\nРолик содержит рекламную интеграцию.\nerid=Pb3XmBtzt6mCxecnnicoBfLYnDTrtR6uqSKNJY6"	2022-12-28	https://www.youtube.com/watch?v=owa16R_HeQg	414064	8780	PT26M20S	382	https://www.ivi.ru/watch/13-ya-klinicheskaya?utm_campaign=svod_ru_series_title_13_klinicheskaya&utm_medium=blogger&utm_source=wylsa&utm_content=integration	"LLC ""Ivi.ru"""
pxXKt7AAObs	Если вы находитесь в поиске площадки, чтобы перенести свой бизнес, просто обратитесь к REG.RU. Тут вы найдете все для запуска вашего онлайн проекта по выгодной цене: https://go.reg.ru/UTwCiU8\n\n\nТелеграм Wylsacom - https://t.me/Wylsared\nПриложение Wylsacom для Apple - https://apps.apple.com/ru/app/wylsacom-media/id1481939376\nПриложение Wylsacom для Android - https://play.google.com/store/apps/details?id=com.wylsacom.media&hl=ru\nTwitter - http://twitter.com/wylsacom\nЯндекс Дзен - https://zen.yandex.ru/wylsacom\nГруппа VK - https://vk.com/wylsacom\nСайт - http://wylsa.com\n\nРолик содержит рекламную интеграцию.\nerid=Pb3XmBtzsySYBLcaDXTXrB8bqxnNnZ51bNVxiS2	2022-12-27	https://www.youtube.com/watch?v=pxXKt7AAObs	654817	26645	PT30M1S	1389	https://www.reg.ru/buy/package/influenceQ42022?utm_source=youtube&utm_medium=influence&utm_campaign=Wylsacom-12-2022	Domain name registrar REG.RU Ltd.
J6oebpEJKbM	Подключайте агента Еву от МегаФона с друзьями: https://trk.mail.ru/c/awhz37\nИспользуйте фразы:\n- «Ева, топ за свои деньги»\n- «Ева, ну такое» \n- «Ева, по красоте»\n\nerid=Pb3XmBtzswoqnTDZMWRtCyEJFw6YKqJBZ4S1Rxa\n\nЗа предоставленный Black Shark 5 Pro - http://biggeek.ru\n\nРазыгрываем  Black Shark 5 Pro! Что нужно сделать чтоб испытать удачу?\n1. Подписаться или быть подписанным на канал Wylsacom\n2. Оставить 1 комментарий - во что играете на мобилках сейчас?. \n3. Лайк ролику. Опционально, но дает +100 к удаче.\n4. Перейти по этой ссылке в наш ТГ-канал WylsacomRed и подписаться на него!\nhttps://t.me/Wylsared/7542\nИ нажать кнопку «Участвовать». \n\nВсем удачи!\nПодведем итоги в TG-канале WylsacomRed.\nДоставка Почтой России или можно забрать в Москве.\nhttps://t.me/Wylsared/7334\n\nТелеграм Wylsacom - https://t.me/Wylsared\nПриложение Wylsacom для Apple - https://apps.apple.com/ru/app/wylsacom-media/id1481939376\nПриложение Wylsacom для Android - https://play.google.com/store/apps/details?id=com.wylsacom.media&hl=ru\nTwitter - http://twitter.com/wylsacom\nЯндекс Дзен - https://zen.yandex.ru/wylsacom\nГруппа VK - https://vk.com/wylsacom\nСайт - http://wylsa.com\n\nРолик содержит рекламную интеграцию.\nerid=Pb3XmBtzswoqnTDZMWRtCyEJFw6YKqJBZ4S1Rxa	2022-12-26	https://www.youtube.com/watch?v=J6oebpEJKbM	300628	10725	PT17M29S	4487	https://tatarstan.megafon.ru/services/security/agent_eva/?utm_source=smartlink&utm_medium=smm&utm_campaign=CKO-27443_3&mt_click_id=mt-awhz37-1677532053-3332303070	"PJSC ""MegaFon"""
bLlihDmUttg	Оставляйте заявку и размещайте на инфраструктуре Selectel любые данные в соответствии с российским законодательством и международными стандартами: https://slc.tl/z7q0r\n\nТелеграм Wylsacom - https://t.me/Wylsared\nПриложение Wylsacom для Apple - https://apps.apple.com/ru/app/wylsacom-media/id1481939376\nПриложение Wylsacom для Android - https://play.google.com/store/apps/details?id=com.wylsacom.media&hl=ru\nTwitter - http://twitter.com/wylsacom\nЯндекс Дзен - https://zen.yandex.ru/wylsacom\nГруппа VK - https://vk.com/wylsacom\nСайт - http://wylsa.com\n\nРолик содержит рекламную интеграцию\nerid=Pb3XmBtzt9U26FdXeGM6oPj8BqfGSZeBCHGaKmG	2022-12-24	https://www.youtube.com/watch?v=bLlihDmUttg	259855	15376	PT19M55S	444	https://selectel.ru/services/is/dswes/?utm_source=youtube.com&utm_medium=referral&utm_campaign=security_services_1222_wylsacom_241222_paid	Selectel, Co. Ltd.
42VozK4Yde0	Заказывай Xiaomi 12T или Xiaomi Lite на сайте или в мобильном приложение М.Видео  и получай аксессуар в подарок https://bit.ly/wylsa_SF_RF_MI12t\n\n#дарю #подарки \nРазыгрываем Xiaomi 12T Pro! Что нужно сделать чтоб испытать удачу?\n1. Подписаться или быть подписанным на канал Wylsacom\n2. Оставить 1 комментарий. \n3. Лайк ролику. Опционально, но дает +100 к удаче.\n4. Перейти по этой ссылке в наш ТГ-канал WylsacomRed и подписаться на него!\nhttps://t.me/Wylsared/7482\nИ нажать кнопку «Участвовать». \n\nВсем удачи!\nПодведем итоги в TG-канале WylsacomRed.\nДоставка Почтой России или можно забрать в Москве.\nhttps://t.me/Wylsared/7482\n\nРозыгрыш в телеграме - https://t.me/Wylsared/7482\n\nТелеграм Wylsacom - https://t.me/Wylsared\nПриложение Wylsacom для Apple - https://apps.apple.com/ru/app/wylsacom-media/id1481939376\nПриложение Wylsacom для Android - https://play.google.com/store/apps/details?id=com.wylsacom.media&hl=ru\nTwitter - http://twitter.com/wylsacom\nЯндекс Дзен - https://zen.yandex.ru/wylsacom\nГруппа VK - https://vk.com/wylsacom\nСайт - http://wylsa.com\n\nРолик содержит рекламную интеграцию.\nerid=Pb3XmBtzt6TZgRprpyUdML3fgENpb5QfGRqdXka	2022-12-21	https://www.youtube.com/watch?v=42VozK4Yde0	207686	20335	PT15M14S	4714	https://www.mvideo.ru/promo/naushniki-ili-fitnes-braslet-v-podarok-pri-pokupke-smartfona-xiaomi-12t-i-12t-lite?from=cb?utm_source=yt_blogger_wylsa&utm_medium=display&utm_campaign=Special_flight_RF_Xiaomi_NY	PJSC M.video
7TW2dXgZiwk	Инвестируйте с Финам! Откройте счет с тарифом «FreeTrade» по ссылке:\nhttps://clck.ru/32hYYz\n\nТелеграм Wylsacom - https://t.me/Wylsared\nПриложение Wylsacom для Apple - https://apps.apple.com/ru/app/wylsacom-media/id1481939376\nПриложение Wylsacom для Android - https://play.google.com/store/apps/details?id=com.wylsacom.media&hl=ru\nTwitter - http://twitter.com/wylsacom\nЯндекс Дзен - https://zen.yandex.ru/wylsacom\nГруппа VK - https://vk.com/wylsacom\nСайт - http://wylsa.com\n\nРолик содержит рекламную интеграцию	2022-11-16	https://www.youtube.com/watch?v=7TW2dXgZiwk	2325841	65578	PT18M37S	1740	https://www.finam.ru/landings/freetrade/?utm_source=youtube_wylsacom&utm_medium=rta_integration_media&utm_campaign=rt_finam_media_oct_dec2022&erid=Pb3XmBtztCUbFLmKY5LvRUG2xX6Ut5cQesVfunY	Finam.ru LLC
w-z6oylaykE	Что принёс вам кролик: деньги, совет или кэшбэк? Собирайте призы в игре от Альфа-Банка: https://alfa.me/DjyTuF\n\nНовый розыгрыш! Приз — iPad Air 64 ГБ на M1 синего цвета. Для участия необходимо подписаться на Telegram-канал https://t.me/Wylsared и нажать кнопку Участвовать в этом посте https://t.me/Wylsared/7410\n\nИтоги подведём 20 декабря.\n\nТелеграм Wylsacom - https://t.me/Wylsared\nПриложение Wylsacom для Apple - https://apps.apple.com/ru/app/wylsacom-media/id1481939376\nПриложение Wylsacom для Android - https://play.google.com/store/apps/details?id=com.wylsacom.media&hl=ru\nTwitter - http://twitter.com/wylsacom\nЯндекс Дзен - https://zen.yandex.ru/wylsacom\nГруппа VK - https://vk.com/wylsacom\nСайт - http://wylsa.com\n\nРолик содержит рекламную интеграцию\nerid=Pb3XmBtzt2wia5xCkPAViFyzKmj9f47oVE5SuRz	2022-12-13	https://www.youtube.com/watch?v=w-z6oylaykE	644598	29022	PT28M56S	6806	https://alfabank.ru/lp/retail/ny-games/?utm_source=youtube&utm_medium=unit&utm_campaign=marketing_bloggers_dec22_ny-games_&utm_content=Wylsacom_integraciya_&utm_term=&platformId=youtube_unit_marketing_bloggers_dec22_ny-games_Wylsacom_integraciya_	JOINT-STOCK COMPANY ALFA-BANK
OVchk8oH3Sg	Узнай больше о флагманских смартфонах Infinix - Zero Ultra и Zero 20 https://bit.ly/3VGZRlN\nГруппа Infinix во Вконтакте https://vk.com/infinixrussia\n\nНовый розыгрыш, друзья. Разыгрываем смартфон Infinix Zero 20 среди подписчиков нашего Telegram-канала.  Для участия необходимо подписаться на Telegram-канал https://t.me/Wylsared  и нажать кнопку участвовать в этом посте https://t.me/Wylsared/7401\nИтоги подведём 19 декабря.\n\nТелеграм Wylsacom - https://t.me/Wylsared\nПриложение Wylsacom для Apple - https://apps.apple.com/ru/app/wylsacom-media/id1481939376\nПриложение Wylsacom для Android - https://play.google.com/store/apps/details?id=com.wylsacom.media&hl=ru\nTwitter - http://twitter.com/wylsacom\nЯндекс Дзен - https://zen.yandex.ru/wylsacom\nГруппа VK - https://vk.com/wylsacom\nСайт - http://wylsa.com\n\nРолик содержит рекламную интеграцию\nPb3XmBtzsruwYBXmRKBgmxED2PgGXvi6upMfvMv	2022-12-12	https://www.youtube.com/watch?v=OVchk8oH3Sg	514267	18572	PT20M18S	2131	https://www.infinixmobility.com/ru/?utm_source=main&utm_medium=promo&utm_campaign=website	infinixmobility.com
7bt2o2A6V-c	Приобрести ноутбук RedmiBook 15 можно в DNS. Переходите по ссылкам и выбирайте:\n- с процессором i3: https://bit.ly/3FGLloG\n- с процессором i5: https://bit.ly/3W2GnI3\n\nТелеграм Wylsacom - https://t.me/Wylsared\nПриложение Wylsacom для Apple - https://apps.apple.com/ru/app/wylsacom-media/id1481939376\nПриложение Wylsacom для Android - https://play.google.com/store/apps/details?id=com.wylsacom.media&hl=ru\nTwitter - http://twitter.com/wylsacom\nЯндекс Дзен - https://zen.yandex.ru/wylsacom\nГруппа VK - https://vk.com/wylsacom\nСайт - http://wylsa.com\n\nРолик содержит рекламную интеграцию	2022-12-10	https://www.youtube.com/watch?v=7bt2o2A6V-c	260915	9551	PT10M13S	729	https://www.dns-shop.ru/product/339dc06c2cf9ed20/156-noutbuk-xiaomi-redmibook-15-seryj/?utm_source=wylsacom&utm_medium=cpm&utm_campaign=kol&erid=Pb3XmBtzt8PB4VfTjJGPr6KfZbhWVPXGC1AF7Zi	"LTD ""DNS Retail"""
se6zJwnhx6o	Арендуйте выделенный сервер Selectel со скидкой до 35%: https://slc.tl/cs3yz\nПосмотрите нашу историю линейки Nexus — https://www.youtube.com/watch?v=nnpafq-xAhU\n\nТелеграм Wylsacom - https://t.me/Wylsared\nПриложение Wylsacom для Apple - https://apps.apple.com/ru/app/wylsacom-media/id1481939376\nПриложение Wylsacom для Android - https://play.google.com/store/apps/details?id=com.wylsacom.media&hl=ru\nTwitter - http://twitter.com/wylsacom\nЯндекс Дзен - https://zen.yandex.ru/wylsacom\nГруппа VK - https://vk.com/wylsacom\nСайт - http://wylsa.com\n\nРолик содержит рекламную интеграцию\nPb3XmBtztB8oEgJ8sANG1uhzwRt1ZvxmxmjiFUS	2022-12-06	https://www.youtube.com/watch?v=se6zJwnhx6o	182655	8776	PT28M47S	585	https://selectel.ru/services/dedicated/auction/?utm_source=youtube.com&utm_medium=referral&utm_campaign=dedicated_auction_wylsacom_061222_paid	Selectel, Co. Ltd.
